type of dwelling involved in the sale,general zoning classification of the sale,Linear feet of street connected to the property,Lot size in square feet,Type of ROAD access to property,Type of ALLEY access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction & remodel date,Type of roof,Roof material,Exterior covering on the house,Masonry veneer area in square feet,exterior quality and condition of the material,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of 1st & 2nd basement finished area,Type 1 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second-floor square feet,Above grade (ground) living area square feet,Basement full bathrooms,Full bathrooms above grade,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality & condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
1-STORY 1945 & OLDER,Residential Low-Density,0,25339,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Single-family Detached,One story,Average,Good,1918&2007,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical&Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,816,816,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1416,0,1416,0,2,3,1,Good,7,Typical Functionality,0,No,Attached to the home,Unfinished,2,576,Average/Typical,Dirt/Gravel,0,0,No,No,No,Aug,2007,Warranty Deed - Conventional,Normal Sale,112000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,9060,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Average,1939&1950,Gable,Standard (Composite) Shingle,Wood Shingles,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Average Rec Room&Unfinished,204,356,560,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,698,560,1258,0,1,2,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,Unfinished,1,280,Average/Typical,Partial Pavement,0,0,No,Minimum Privacy,No,Oct,2009,Warranty Deed - Conventional,Normal Sale,105000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,40,5436,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Single-family Detached,One and one-half story: 2nd level finished,Below Average,Very Good,1922&2007,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical&Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,735,61,796,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,796,358,1154,1,1,3,1,Good,7,Typical Functionality,0,No,Detached from home,Unfinished,1,240,Average/Typical,Dirt/Gravel,0,96,No,Minimum Privacy,No,May,2010,Warranty Deed - Conventional,Normal Sale,125500
2-STORY 1946 & NEWER,Residential Low-Density,80,16692,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Adjacent to North-South Railroad&Normal,Single-family Detached,Two-story,Good,Average,1978,Gable,Standard (Composite) Shingle,Plywood,184,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Low Quality,790,133,1392,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1392,1392,2784,1,3,5,1,Good,12,Typical Functionality,2,Average,Attached to the home,Rough Finished,2,564,Average/Typical,Paved,0,112,Fair,Minimum Privacy,Tennis Court,Jul,2006,Warranty Deed - Conventional,Normal Sale,250000
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,60,8520,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,1916&1950,Gable,Standard (Composite) Shingle,Stucco,0,Average/Typical&Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Low Quality,168,0,714,Gas hot water or steam heat,Average/Typical,No,Standard Circuit Breakers & Romex,1664,862,2526,0,2,5,1,Good,10,Typical Functionality,1,Good,Detached from home,Unfinished,1,216,Average/Typical,Paved,88,15,No,Good Wood,No,Aug,2007,Warranty Deed - Cash,Sale between family members,136000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,42,14892,Paved,No alley access,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Gilbert,Normal,Single-family Detached,One story,Excellent,Average,2006&2007,Gable,Standard (Composite) Shingle,Vinyl Siding,160,Excellent&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,1320,426,1746,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1746,0,1746,1,2,3,1,Excellent,7,Typical Functionality,2,Good,Attached to the home,Finished,3,758,Average/Typical,Paved,201,39,No,No,No,Oct,2009,Warranty Deed - Conventional,Normal Sale,377500
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,60,6000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,1941&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical&Good,Brick & Tile,Typical (80-89 inches),Good,No Exposure,Average Living Quarters&Unfinished,375,360,735,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,869,349,1218,0,1,3,1,Average/Typical,6,Typical Functionality,1,Good,Detached from home,Unfinished,2,440,Average/Typical,Paved,0,0,No,No,No,Mar,2007,Warranty Deed - Conventional,Normal Sale,131000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,9100,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Good,Average,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,244,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1400,125,1525,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1525,0,1525,1,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,541,Average/Typical,Paved,219,36,No,No,No,Sep,2006,Warranty Deed - Conventional,Normal Sale,235000
DUPLEX - ALL STYLES AND AGES,Residential Low-Density,65,8944,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Duplex,One story,Average,Average,1967,Gable,Standard (Composite) Shingle,Plywood,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,1584,1584,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1584,0,1584,0,2,4,2,Average/Typical,8,Moderate Deductions,0,No,Detached from home,Unfinished,3,792,Average/Typical,Paved,0,152,No,No,No,Apr,2009,Warranty Deed - Conventional,Normal Sale,124000
SPLIT FOYER,Residential Low-Density,68,7838,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,Split Foyer,Average,Average,1967,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters&Unfinished,769,95,864,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,900,0,900,1,1,3,1,Average/Typical,6,Typical Functionality,1,Poor,Attached to the home,Rough Finished,1,288,Average/Typical,Paved,175,144,No,Minimum Wood/Wire,No,Dec,2006,Warranty Deed - Conventional,Normal Sale,123000
2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,60,10800,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,2fmCon,One and one-half story: 2nd level finished,Above Average,Good,1905&2000,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,482,482,Gas forced warm air furnace,Excellent,No,Standard Circuit Breakers & Romex,1221,691,1912,0,2,3,2,Average/Typical,7,Typical Functionality,1,Average,Detached from home,Unfinished,2,672,Good&Average/Typical,Paved,0,25,No,No,No,Apr,2008,Warranty Deed - Conventional,Normal Sale,163000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,53,4045,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Normal,Townhouse End Unit,One story,Good,Average,2006,Hip,Standard (Composite) Shingle,Vinyl Siding,45,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,1070,286,1356,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1500,0,1500,1,2,2,1,Good,6,Typical Functionality,1,Good,Attached to the home,Finished,3,648,Average/Typical,Paved,161,20,No,No,No,Oct,2006,Home just constructed and sold,Home was not completed when last assessed,246578
2-STORY 1946 & NEWER,Residential Low-Density,88,12665,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timberland,Normal,Single-family Detached,Two-story,Very Good,Average,2005&2006,Hip,Standard (Composite) Shingle,Vinyl Siding,245,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Good,Good Exposure,Unfinished,0,1094,1094,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1133,1349,2482,0,2,4,1,Good,9,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Finished,3,642,Average/Typical,Paved,144,39,No,No,No,Feb,2007,Warranty Deed - Conventional,Normal Sale,281213
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,57200,Paved,No alley access,Slightly irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Severe Slope,Timberland,Normal,Single-family Detached,One story,Average,Average,1948&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Below Average Living Quarters&Average Rec Room,353,60,747,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1687,0,1687,1,1,3,1,Average/Typical,7,Minor Deductions 1,2,Average,Detached from home,Unfinished,2,572,Average/Typical,Dirt/Gravel,0,0,No,No,No,Jun,2010,Warranty Deed - Conventional,Normal Sale,160000
2-STORY 1945 & NEWER,Residential Medium Density,51,6120,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Single-family Detached,Two-story,Average,Very Good,1920&2004,Gable,Standard (Composite) Shingle,Metal Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Unfinished,0,939,939,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,939,574,1513,0,1,4,1,Average/Typical,8,Typical Functionality,0,No,Detached from home,Unfinished,1,180,Fair,Dirt/Gravel,24,0,No,No,No,May,2007,Warranty Deed - Conventional,Normal Sale,137500
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,7200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Below Average,1950&1982,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room&Below Average Living Quarters,180,676,1208,Gas forced warm air furnace,Good,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1136,768,1904,1,1,3,1,Average/Typical,7,Minor Deductions 1,0,No,Attached to the home,Unfinished,1,240,Average/Typical,Paved,0,0,No,Good Privacy,No,May,2009,Warranty Deed - Conventional,Normal Sale,138000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,51,6171,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,South & West of Iowa State University,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,1925&1990,Gable,Standard (Composite) Shingle,Wood Shingles,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,264,712,976,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1160,448,1608,0,2,3,1,Good,7,Typical Functionality,1,Good,Detached from home,Unfinished,1,216,Fair&Average/Typical,Paved,147,16,No,Minimum Privacy,No,Oct,2009,Warranty Deed - Conventional,Normal Sale,137450
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50,6000,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,1929&1950,Gable,Standard (Composite) Shingle,Wood Shingles,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,862,862,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,950,208,1158,0,1,3,1,Average/Typical,5,Typical Functionality,1,Good,Built-In (Garage part of the house - typically has room above the garage),Rough Finished,1,208,Average/Typical,Paved,0,0,No,No,No,Jul,2008,Warranty Deed - Conventional,Normal Sale,120000
2-STORY 1946 & NEWER,Residential Low-Density,62,7415,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Single-family Detached,Two-story,Above Average,Average,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,759,80,839,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,864,729,1593,1,2,3,1,Average/Typical,8,Typical Functionality,1,Average,Attached to the home,Finished,2,398,Average/Typical,Paved,100,75,No,No,No,Apr,2008,Warranty Deed - Conventional,Normal Sale,193000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,64,6762,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,One story,Good,Average,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Good,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,1286,1286,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1294,0,1294,0,2,2,1,Good,6,Typical Functionality,1,Good,Attached to the home,Rough Finished,2,662,Average/Typical,Paved,168,55,No,No,No,Jul,2006,Home just constructed and sold,Home was not completed when last assessed,193879
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,49,15256,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Somerset,Adjacent to North-South Railroad&Normal,Single-family Detached,One story,Very Good,Average,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,84,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,929,556,1485,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1464,0,1464,1,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Unfinished,3,754,Average/Typical,Paved,168,160,No,No,No,Aug,2007,Warranty Deed - Conventional,Normal Sale,282922
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,60,10410,Paved,Gravel,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Old Town,Adjacent to arterial street&Normal,Single-family Detached,One and one-half story: 2nd level finished,Fair,Below Average,1915&1950,Gable,Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,672,672,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,694,520,1214,0,1,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,Unfinished,3,936,Average/Typical,Paved,216,0,No,Minimum Privacy,No,Jan,2006,Warranty Deed - Conventional,Sale between family members,105000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44,3842,Paved,No alley access,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Crawford,Normal,Townhouse End Unit,One story,Very Good,Average,2004&2005,Hip,Standard (Composite) Shingle,Cement Board,174,Good&Average/Typical,Poured Concrete,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters&Unfinished,1373,221,1594,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1646,0,1646,1,2,2,1,Good,5,Typical Functionality,1,Good,Attached to the home,Finished,2,482,Average/Typical,Paved,128,53,No,No,No,Jan,2008,Warranty Deed - Conventional,Normal Sale,275000
SPLIT FOYER,Residential Low-Density,70,8445,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Single-family Detached,Split Foyer,Average,Good,1972&2007,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters&Unfinished,656,112,768,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,768,0,768,1,1,2,1,Average/Typical,5,Typical Functionality,0,No,Detached from home,Unfinished,2,396,Average/Typical,Paved,58,0,No,Minimum Privacy,No,Mar,2009,Warranty Deed - Conventional,Normal Sale,133000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8780,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Mitchell,Normal,Single-family Detached,One story,Average,Average,1985,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,625,208,833,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,833,0,833,1,1,3,1,Average/Typical,5,Typical Functionality,0,No,No,No,0,0,No,Paved,0,0,No,Minimum Privacy,No,Mar,2009,Warranty Deed - Conventional,Normal Sale,112000
2-STORY 1945 & NEWER,Residential Medium Density,60,7740,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,Single-family Detached,Two-story,Below Average,Good,1910&1950,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Cinder Block,Fair (70-79 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,622,622,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,741,622,1363,0,1,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,Unfinished,2,528,Average/Typical,Paved,0,0,No,No,No,Jun,2010,Warranty Deed - Conventional,Normal Sale,125500
2-STORY 1946 & NEWER,Residential Low-Density,46,20544,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Northwest Ames,Normal,Single-family Detached,Two-story,Good,Above Average,1986&1991,Gable,Standard (Composite) Shingle,Plywood,123,Average/Typical&Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,791,791,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1236,857,2093,0,2,3,1,Average/Typical,7,Typical Functionality,1,Average,Attached to the home,Finished,2,542,Average/Typical,Paved,364,63,No,Minimum Privacy,No,Nov,2008,Warranty Deed - Conventional,Normal Sale,215000
2-STORY 1946 & NEWER,Residential Low-Density,79,12420,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Single-family Detached,Two-story,Good,Average,2001,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters&Unfinished,666,278,944,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,944,896,1840,1,2,3,1,Good,6,Typical Functionality,0,No,Attached to the home,Rough Finished,2,622,Average/Typical,Paved,0,45,No,No,No,Jun,2009,Warranty Deed - Conventional,Normal Sale,230000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,80,9600,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Very Good,1950&2005,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical&Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Unfinished,120,736,856,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1112,556,1668,0,1,3,1,Average/Typical,6,Minor Deductions 2,0,No,Attached to the home,Unfinished,1,271,Average/Typical,Paved,0,0,No,Minimum Privacy,No,Sep,2009,Warranty Deed - Conventional,Normal Sale,140000
DUPLEX - ALL STYLES AND AGES,Residential Low-Density,60,7200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Duplex,One story,Below Average,Average,1949&1950,Gable,Standard (Composite) Shingle,Brick Face,0,Average/Typical,Slab,No,No,No Exposure,No,0,0,0,Wall furnace,Fair,No,60 AMP Fuse Box and mostly Romex wiring (Fair),1040,0,1040,0,2,2,2,Average/Typical,6,Typical Functionality,0,No,Detached from home,Unfinished,2,420,Average/Typical,Paved,0,0,No,No,No,Jun,2009,Warranty Deed - Conventional,Normal Sale,90000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,88,10994,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer West,Normal,Single-family Detached,One story,Very Good,Average,2005&2006,Gable,Standard (Composite) Shingle,Vinyl Siding,366,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Good,No Exposure,Good Living Quarters&Unfinished,976,868,1844,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1844,0,1844,1,2,2,1,Good,7,Typical Functionality,1,Good,Attached to the home,Finished,2,620,Average/Typical,Paved,165,44,No,No,No,Sep,2009,Court Officer Deed/Estate,Abnormal Sale,257000
1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,64,13053,Paved,Paved,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Good,1923&2000,Gabrel (Barn),Standard (Composite) Shingle,Wood Siding,0,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,833,833,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1053,795,1848,0,1,4,1,Good,8,Typical Functionality,1,Good,Detached from home,Unfinished,2,370,Average/Typical,Dirt/Gravel,0,0,No,No,No,Jun,2008,Warranty Deed - Conventional,Normal Sale,207000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,51,3635,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Normal,Townhouse End Unit,One story,Good,Average,2007,Hip,Standard (Composite) Shingle,Vinyl Siding,130,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters&Unfinished,988,398,1386,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1569,0,1569,0,2,1,1,Good,7,Typical Functionality,1,Average,Attached to the home,Rough Finished,3,660,Average/Typical,Paved,143,20,No,No,No,May,2009,Warranty Deed - Conventional,Normal Sale,175900
2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,60,11340,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Normal,2fmCon,Two-story,Below Average,Above Average,1885&1950,Gable,Standard (Composite) Shingle,Vinyl Siding,0,Average/Typical,Poured Concrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,777,777,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1246,1044,2290,0,2,4,2,Average/Typical,11,Typical Functionality,0,No,Detached from home,Unfinished,2,560,Average/Typical,Dirt/Gravel,0,0,No,No,No,Apr,2010,Warranty Deed - Conventional,Normal Sale,122500
2-STORY 1946 & NEWER,Residential Low-Density,0,16545,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge,Normal,Single-family Detached,Two-story,Very Good,Average,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,731,Good&Average/Typical,Poured Concrete,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Good Living Quarters&Unfinished,781,503,1284,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1310,1140,2450,1,2,3,1,Good,7,Typical Functionality,1,Average,Attached to the home,Finished,3,1069,Average/Typical,Paved,0,126,No,No,No,May,2009,Warranty Deed - Conventional,Normal Sale,340000
1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,71,9204,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Single-family Detached,One story,Average,Average,1963,Gable,Standard (Composite) Shingle,Hard Board,0,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters&Average Rec Room,25,247,1144,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1144,0,1144,1,1,3,1,Average/Typical,6,Typical Functionality,0,No,Detached from home,Unfinished,1,336,Average/Typical,Paved,0,88,No,No,No,Aug,2008,Court Officer Deed/Estate,Normal Sale,124000
